Megatrend,Area,Firm,Short Description,Keywords,Role of Utility,Website,Twitter Handle,Country,Language,Year Founded,Funding Status,Total Funding Amount (National Currency),Currency,Total Funding Amount (USD),IPO Date,,,,,,,,,,
Other,Smart Lighting,Encelium (Osram),Provides advanced lighting control systems for commercial buildings,"Smart Lighting, Building Efficiency",Supplier,encelium.com,,United States of America,English,2001,Corporate (Osram),,USD,,,,,,,,,,,,
Other,Green Trucks,Gaussin,Produces hydrogen and electric logistics trucks and autonomous transport systems,"Hydrogen Trucks, Logistics",Supplier,gaussin.com,@gaussin_sa,France,English,2001,Public (Euronext),€60M,USD,67500000,2010,,,,,,,,,,
Other,Thermal Storage,SaltX,Develops nanocoated salt-based thermal energy storage for industrial use,"Heat Storage, Decarbonization",,saltxtechnology.com,@SaltXTechnology,Sweden,English,2001,Public (Nasdaq First North),SEK 250M+,USD,25750000,2018,,,,,,,,,,
Distributed,Comfort,Tado,tado is the expert in smart heating and energy,,,https://www.tado.com/all-en,,Germany,English,2001,,,USD,,,,,,,,,,,,
Other,Circular Waste,TerraCycle,Collects and recycles hard-to-recycle waste through global programs and partnerships,"Circular Economy, Recycling Platforms",,terracycle.com,@TerraCycle,United States of America,English,2001,Private,$50M+,USD,50000000,,,,,,,,,,,
Decarbonization,Equipment,Enova,"A company that offers energy and facilities management services, including energy audits, retrofits, and maintenance, for commercial and industrial customers.",,,,@Enovame,United Arab Emirates,English,2002,,,USD,,,,,,,,,,,,
Other,Tidal Energy,Orbital Marine Power,Develops floating tidal stream turbines for grid-scale marine energy,"Tidal, Floating Turbines",,orbitalmarine.com,@Orbitalmarine,United Kingdom,English,2002,Private,£35M+,USD,46550000,,,,,,,,,,,
Decarbonization,Buildings,SmartPower Service Corp.,Provides energy efficiency solutions for apartment buildings. Expanding business operations through the introduction of LED lighting for common and exclusive areas and synchronization of power generation/storage systems.,,,http://www.smartpower.co.jp/,,Japan,English,2002,,,USD,,,,,,,,,,,,
Clean Energy,Renewable Energy,ACME Group,"Indian renewable energy company focusing on solar, wind, hybrid, and green hydrogen projects.","Solar, Wind, Green Hydrogen",,acme.in,,India,English,2003,Private,₹40 billion,USD,472000000,,,,,,,,,,,
Other,Biomaterials,AirCarbon (Newlight Technologies),"Produces AirCarbon, a carbon-negative biomaterial made from captured greenhouse gases, used as a sustainable alternative to plastic.","Biomaterials, Carbon Capture",,newlight.com,,United States of America,English,2003,Private,,USD,,,,,,,,,,,,
Digital & AI,Virtual Power Plants,Enbala (Virtual Power Plant),Provides software to aggregate distributed energy resources into VPPs,"VPP, DER, Grid Balancing",,enbala.com,,Canada,English,2003,Acquired (by Generac),,USD,,,,,,,,,,,,
Other,Clean Cookstoves,Envirofit,Designs clean cookstoves for off-grid and low-income communities,"Clean Cooking, Rural Energy",,envirofit.org,,United States of America,English,2003,Nonprofit / Hybrid,$25M+,USD,25000000,,,,,,,,,,,
Other,Bioplastics,Newlight Technologies,Converts methane into AirCarbon — a carbon-negative biopolymer,"Carbon Capture, Bioplastics",,newlight.com,@NewlightTech,United States of America,English,2003,Private,$125M,USD,125000000,,,,,,,,,,,
Other,Wastewater Treatment,Baswood,Bio-filtration tech for industrial wastewater using anaerobic digestion,"Wastewater, Biotech",,baswood.com,,United States of America,English,2004,Private,,USD,,,,,,,,,,,,
Clean Energy,Solar Development,IberSun (Solartia),Provides engineering and development for solar farms in Europe and LatAm,"Solar PV Development, EPC",,solartia.com,,Spain,Spanish,2004,Private,,USD,,,,,,,,,,,,
Other,Electric Buses,Proterra,Designs and manufactures electric transit buses and EV drivetrains,"eBuses, Battery Systems",Supplier,proterra.com,@Proterra_Inc,United States of America,English,2004,Public (Bankrupt 2023),$682M IPO + VC,USD,682000000,2021,,,,,,,,,,
Clean Energy,Solar Installation,Exact Solar,Solar installation company focused on residential and small business deployments,"Solar Installers, Local PV",,exactsolar.com,,United States of America,English,2005,Private,,USD,,,,,,,,,,,,
Digital & AI,Smart Grid,Gridsum Holding,Provides AI-based analytics and data visualization platforms (primarily in China),"Smart Grid, Data Platforms",,gridsum.com,,China,Chinese,2005,Delisted,Previously public,USD,,2020,,,,,,,,,,
Other,Carbon Recycling,LanzaTech,"Captures industrial emissions and converts them into fuels, chemicals, and materials","Carbon Capture, Waste-to-Fuel",,lanzatech.com,@lanzatech,United States of America,English,2005,Public (NASDAQ: LNZA),$500M+,USD,500000000,2023,,,,,,,,,,
Other,Glass Recycling,Shark Solutions,Recycles laminated automotive glass into new raw materials (e.g. PVB),"Auto Glass, Circular Manufacturing",,shark-solutions.com,,Denmark,English,2005,Private,,USD,,,,,,,,,,,,
Other,Waste-to-Energy,Solena (see Solena Fuels),Converts waste into jet fuel via plasma gasification,"SAF, Waste-to-Fuel",,,,United States of America,English,2005,Possibly Inactive,$20M+,USD,20000000,,,,,,,,,,,
Other,Waste-to-Fuel,Solena Fuels,Converts biomass and waste into synthetic jet fuel via plasma gasification,"Sustainable Aviation Fuel, Waste-to-Energy",,N/A (past: solenafuels.com),,United States of America,English,2005,Possibly inactive,$20M+,USD,20000000,,,,,,,,,,,
Clean Energy,Renewable Energy,Beam (Envision),Solar-powered charging stations for electric vehicles,"EV Charging, Solar",,envisionsolar.com,,United States of America,English,2006,Public (NASDAQ: BEEM),,USD,,,,,,,,,,,,
Decarbonization,Biomass,Cambridge Industries,Cambridge Industries started out developing the first waste-to-energy and the first sustainable city park in Africa to diversify innovation during the material creation and waste disposal process. It works on urban innovations to keep products and materials in extended use through reuse stations. It integrates biological materials from waste sources and polluting gases by creating next-generation bioreactors and insect farms.,,,cambridge-industries.com,,Ethiopia,English,2006,,,USD,,,,,,,,,,,,
Other,Green Chemistry,CarbonFree Chemicals,Produces calcium carbonate from CO₂ captured from flue gas,"CO₂ Mineralization, Green Cement",,carbonfree.cc,,United States of America,English,2006,Private,$50M,USD,50000000,,,,,,,,,,,
Clean Energy,Solar Access,d.light Design,Provides affordable solar-powered devices to off-grid communities,"Off-grid Solar, Energy Access",,dlight.com,@dlightdesign,United States of America,English,2006,Private,$100M,USD,100000000,,,,,,,,,,,
Other,Smart Home Energy,Efergy,Offers real-time energy monitoring tools for home electricity management,"Energy Monitors, Smart Home",,efergy.com,,United Kingdom,English,2006,Private,,USD,,,,,,,,,,,,
Clean Energy,Solar Microgrids,Enphase Energy,"Global supplier of solar microinverters, batteries, and energy management systems","Solar, Microgrid, Inverters",Supplier,enphase.com,@Enphase,United States of America,English,2006,Public (NASDAQ: ENPH),$1.5B (2023 revenue),USD,1500000000,2012,,,,,,,,,,
Other,Zinc-Air Batteries,Fluidic Energy (Ionic Materials),Former zinc-air battery innovator merged with Ionic Materials,"Zinc-Air, Advanced Materials",,ionicmaterials.com,,United States of America,English,2006,Acquired / Merged,,USD,,,,,,,,,,,,
Other,Organic Solar,Heliatek,"Develops ultra-light, flexible organic photovoltaic films","Organic Solar, OPV",Supplier,heliatek.com,@Heliatek,Germany,English,2006,Private,€100M,USD,112500000,,,,,,,,,,,
Other,Battery Systems,Microvast,Manufacturer of fast-charging lithium-ion battery systems for heavy-duty transport,"Batteries, Heavy Transport",Supplier,microvast.com,@Microvast,United Kingdom,English,2006,Public (NASDAQ: MVST),$700M+,USD,700000000,2021,,,,,,,,,,
Other,Grid Battery Software,Moixa Energy,Provides smart battery control systems and grid balancing via distributed storage,"VPP, Smart Battery, Solar Storage",,moixa.com,@MoixaTechnology,United Kingdom,English,2006,Acquired (Itochu),,USD,,,,,,,,,,,,
Other,Offshore Wind,Orsted (innovación),"R&D and innovation arm of Ørsted for offshore wind, hydrogen, and CCS","Offshore Wind, Innovation",Utility,orsted.com,@Orsted,Denmark,English,2006,Public (CPH: ORSTED),DKK 350B+,USD,52850000000,2016,,,,,,,,,,
Other,Offshore Wind Developer,Ørsted (offshore wind),World leader in offshore wind power development and operations,"Offshore Wind, Clean Energy",Utility,orsted.com,@Orsted,Denmark,English,2006,Public (CPH),DKK 350B+,USD,52850000000,2016,,,,,,,,,,
Electrification,EV,Prologium,"ProLogium Technology (PLG) is a global leader in high-performing, safe and affordable battery technologies in vehicle, consumer and industry applications. Founded 15 years ago in Taiwan, ProLogium is the world’s first company to successfully develop, mass produce, and commercialize the solid-state lithium ceramic battery (SSB) – an essential component in the global energy transition to Net Zero.",,,,,Singapore,English,2006,,,USD,,,,,,,,,,,,
Other,Climate Finance,South Pole,"Offers carbon offset services, climate risk consulting, and project development","Carbon Markets, Climate Consulting",,southpole.com,@southpoleglobal,Switzerland,English,2006,Private,$100M+,USD,100000000,,,,,,,,,,,
Decarbonization,Alternative generation,AEInnova,Thermal converter adaptable to any hot surface allows to generate electricity from hot surfaces to recover the residual heat that is lost in various industrial operations and give it a new energy use.,Solar thermal generaiton,,https://aeinnova.com/,,Spain,Spanish,2007,,,USD,,,,,,,,,,,,
Clean Energy,Solar Energy,Airlight Energy,Swiss company developing concentrated solar power systems and energy storage solutions for large-scale applications.,"Solar Power, Energy Storage",,airlightenergy.com,,Switzerland,English,2007,Private,,USD,,,,,,,,,,,,
Digitalization,AI,Anhui Ronds Science,"focusing on machinery condition monitoring instrumentation, intelligent diagnosis, predictive maintenance, and Cloud service",intelligent alarm system for wind power system,,http://www.ronds.com.cn/,,China,Chinese,2007,,,USD,,,,,,,,,,,,
Electrification,Fast charging,ChargePoint,ChargePoint is a provider of electric vehicle charging stations and related services.,,,,@ChargePointnet,United States of America,English,2007,,,USD,,,,,,,,,,,,
Digital & AI,Building Automation,Cypress Envirosystems,Retrofitting old buildings with IoT sensors and automation to reduce energy usage,"HVAC, Energy Efficiency, IoT",,cypressenvirosystems.com,,United States of America,English,2007,Private,,USD,,,,,,,,,,,,
Decarbonizatio,Circular economy,Echogen Power Systems,Develops waste heat recovery systems to reduce emissions from industrial processes.,Net zero,,www.echogen.com/,,United States of America,English,2007,Early Stage Venture,"$1,500,000",USD,1500000,,,,,,,,,,,
Other,Biomaterials,Ecovative Design,"Grows mycelium-based materials for packaging, leather, and construction","Mycelium, Circular Economy",,ecovativedesign.com,@ecovative,United States of America,English,2007,Private,$120M,USD,120000000,,,,,,,,,,,
Other,Renewable Energy,EDP Renewables Innovation,Innovation branch of one of Europe’s largest wind energy firms,"Wind Energy, Innovation Hub",Supplier,edpr.com,@EDPRenovaveis,Portugal,English,2007,Public (Euronext),€1.5B+ annual R&D spend,USD,1687500000,2008,,,,,,,,,,
Digital & AI,Battery Innovation,Enovix,"Develops 3D silicon lithium-ion batteries for wearables, IoT, and EV applications","Solid-State Batteries, Silicon Anode",Supplier,enovix.com,@EnovixCorp,United States of America,English,2007,Public (NASDAQ: ENVX),,USD,,2021,,,,,,,,,,
Other,Hydrogen Systems,Green Hydrogen Systems,Designs and manufactures modular electrolyzers for green hydrogen production,"Green Hydrogen, Electrolysis",Supplier,greenhydrogensystems.com,@GHydrogenS,Denmark,English,2007,Public (Nasdaq CPH),DKK 650M+,USD,98150000,2021,,,,,,,,,,
Other,Renewable Aviation,nergy (Joule),Converts sunlight and CO₂ into ethanol and diesel via engineered cyanobacteria,"Solar-to-Fuel, Synthetic Biofuels",,N/A (Joule Bio defunct),,United States of America,English,2007,Defunct,,USD,,,,,,,,,,,,
AgriTech,Wastewater Purification,OriginClear,Builds decentralized water treatment tech for industrial and agricultural reuse,"Water Reuse, On-site Systems",,originclear.com,@OriginClear,United States of America,English,2007,Public (OTCQB: OCLN),,USD,,,,,,,,,,,,
Other,Carbon Capture,Svante,Captures CO₂ at industrial scale using solid sorbent filters,"Carbon Capture, Industrial Emissions",,svanteinc.com,@svantesolutions,Canada,English,2007,Private,$400M+,USD,400000000,,,,,,,,,,,
Other,Green Fuels,Taronis Fuels (MagneGas),Converts liquid waste into hydrogen-based fuels via plasma arc technology,"Waste-to-Fuel, Plasma Reforming",,N/A (formerly: taronisfuels.com),,United States of America,English,2007,Inactive / Delisted,$35M+,USD,35000000,2019,,,,,,,,,,
Digitalization,AI,Vibrant Clean Energy,"VCE® uses our combined skills to create energy modeling software (WIS:dom®), provide forecasts, & to create reports/papers on future energy systems",,,vibrantcleanenergy.com,@VibrantCE,United States of America,English,2007,,,USD,,,,,,,,,,,,
Other,Sustainable Chemicals,Anellotech,Develops technology to produce renewable chemicals and fuels from non-food biomass and waste plastics. anellotech.com,"Renewable Chemicals, Biofuels",,anellotech.com,,United States of America,English,2008,Private,,USD,,,,,,,,,,,,
Other,Energy Storage,Aquion Energy,"Develops saltwater-based batteries for sustainable energy storage solutions, focusing on safety and environmental friendliness. Aquion Energy","Saltwater Batteries, Energy Storage",,aquionenergy.com,,United States of America,English,2008,Private,,USD,,,,,,,,,,,,
Distributed,Buildings,Dalkia,"A company that provides energy services and solutions for buildings and facilities, including heating, cooling, and lighting systems.",French EDF,,https://www.dalkia.com/,@dalkia,France,English,2008,,,USD,,,,,,,,,,,,
Other,Grid Battery Storage,Eos Energy Enterprises,Manufactures zinc-based long-duration grid batteries,"Zinc Batteries, Utility Storage",Supplier,eosenergystorage.com,@EosEnergyEnter,United States of America,English,2008,Public (NASDAQ: EOSE),~$200M+,USD,200000000,2020,,,,,,,,,,
Electrification,Fast charging,Greenlots,"In early 2022, Greenlots will become Shell Recharge Solutions, enabling cleaner transportation.",,,,@greenlots,United States of America,English,2008,,,USD,,,,,,,,,,,,
Clean Energy,Solar Mini-Grids,Husk Power Systems,Deploys solar hybrid mini-grids for rural electrification in Africa and Asia,"Off-grid Solar, Rural Access",Utility partner,huskpowersystems.com,@HuskPowerSystem,United States of America,English,2008,Private,$110M,USD,110000000,,,,,,,,,,,
Other,Utility Innovation Fund,Iberdrola PERSEO,Iberdrola’s corporate venture fund for clean energy startups,"Corporate VC, Energy Innovation",Utility VC,iberdrolaventurecapital.com,@iberdrola,Spain,Spanish,2008,Corporate VC,€175M,USD,196875000,,,,,,,,,,,
Other,Airborne Wind,Kite Power Systems (KPS),Develops airborne wind energy technology using kites and tethers,"Airborne Wind, Clean Energy",,N/A (acquired by Shell),,United Kingdom,English,2008,Acquired (Shell),,USD,,,,,,,,,,,,
Digitalization,Energy efficiency,Likron,Likron supports independent utilities and energy-intensive businesses in optimizing their power generation and procurement portfolio with respect to short term trading. Our aim is to monetize market inefficiencies for our customers. To achieve that we rely on continuous analysis of historical and real-time market data using up-to-date quantitative methods and detection of stable correlation patterns that show significant potential for optimization.,,,https://www.likron.de/en/,@LikronGmbH,United States of America,English,2008,,,USD,,,,,,,,,,,,
Other,Marine Energy,Marine Power Systems,Designs flexible ocean energy platforms for wave and wind,"Wave Energy, Floating Wind",,marinepowersystems.co.uk,@MarinePowerSys,United Kingdom,English,2008,Private,£15M+,USD,19950000,,,,,,,,,,,
Other,Bioplastics / Chemicals,Origin Materials,"Converts biomass into sustainable carbon-negative materials for packaging, textiles, and fuels","Bioplastics, Green Chemicals",,originmaterials.com,@OriginMaterials,United States of America,English,2008,Public (NASDAQ: ORGN),$300M+,USD,300000000,2021,,,,,,,,,,
Decarbonization,Alternative generation,Phinergy,"Phinergy’s metal-air technology provides an innovative solution to the world’s ever-growing need for clean, sustainable and affordable energy by extracting the abundant energy contained in metals such as aluminium and zinc and using that energy for various applications: next-generation energy backup for critical infrastructure such as telecommunication sites and data centres; range extension batteries for electric vehicles; and long-duration renewable energy storage.",,,phinergy.com,,Israel,English,2008,,,USD,,,,,,,,,,,,
Other,Hydrogen Fuel Cells,PowerCell Sweden,Designs and manufactures PEM fuel cells for vehicles and stationary power,"Hydrogen, PEM, Mobility",Supplier,powercellgroup.com,@powercellsweden,Sweden,English,2008,Public (STO: PCELL),SEK 1.4B+,USD,144200000,2014,,,,,,,,,,
Decarbonization,Finance,Renew Financial,"Renew Financial (Formerly Renewable Funding) develops innovative, large scale, low-cost finance solutions for energy efficiency and renewable energy products through programs such as Property Assessed Clean Energy (PACE), residential unsecured loans, and utility on-bill financing.",,,www.renewfinancial.com,@RenewFinancial,United States of America,English,2008,,,USD,,,,,,,,,,,,
Other,Low-Carbon Cement,Solidia Technologies,Reduces CO₂ emissions in cement production through proprietary curing process,"Green Cement, Construction Tech",,solidiatech.com,@SolidiaCO2,United States of America,English,2008,Private,$90M+,USD,90000000,,,,,,,,,,,
Other,Chemical Mixing Tech,SpinChem,Designs rotating bed reactors for efficient chemical synthesis,"Green Chemistry, Chemical Engineering",,spinchem.com,,Sweden,English,2008,Private,,USD,,,,,,,,,,,,
Digitalization,AI,Zhongke Lifeng,Artificial intelligence inspection drone for maintenance of solar and wind power plants,AI inspection for renewable power plants,,http://www.zklf-tech.com/,,China,Chinese,2008,,,USD,,,,,,,,,,,,
Other,Algae-Based Biofuels,Algae Systems,Develops technology to convert algae into carbon-negative biofuels and treat wastewater simultaneously.,"Algae, Biofuels, Wastewater",,,,United States of America,English,2009,Private,,USD,,,,,,,,,,,,
Other,Wastewater Treatment,BioFiltro,Eco-friendly wastewater treatment system using worms and microbes,"Wastewater, Natural Filtration",,biofiltro.com,,Chile,English,2009,Private,,USD,,,,,,,,,,,,
Other,Carbon Capture,Carbon Engineering,Direct air capture (DAC) startup extracting CO₂ for reuse and storage,"Carbon Removal, DAC",,carbonengineering.com,,Canada,English,2009,Acquired (Occidental),,USD,,,,,,,,,,,,
Digital & AI,EV Charging Systems,Chargestorm,Provides EV charging stations and software across Scandinavia (now part of CTEK),EV Charging,,chargestorm.se,,Sweden,Swedish,2009,Acquired,,USD,,,,,,,,,,,,
Decarbonization,CCUS,Climeworks,Climeworks is a Swiss startup that has developed a technology that captures carbon dioxide from the atmosphere and stores it underground or uses it to produce renewable fuels.,Decarbonization,,https://climeworks.com/,@Climeworks,Switzerland,English,2009,,,USD,,,,,,,,,,,,
Clean Energy,Transparent Solar,Discover Echo (SolarWindow),Developing transparent solar coatings for windows and building surfaces,"Transparent PV, BIPV",,solarwindow.com,@SolarWindow,United States of America,English,2009,Public (OTC),,USD,,,,,,,,,,,,
Other,Energy Storage,ENGIE Storage (Green Charge),Provides battery storage and energy services for commercial/industrial clients,"Battery Storage, Demand Charge",Supplier,engiestorage.com,,United States of America,English,2009,Acquired (by ENGIE),,USD,,,,,,,,,,,,
Decarbonization,Buildings,Envolta,"A company that provides energy efficiency and sustainability services for buildings and facilities, including audits, retrofits, and performance contracting.",Mexico,,envoltage.com,@Envoltage1,Canada,English,2009,,,USD,,,,,,,,,,,,
Clean Energy,Printable Solar,Exeger,"Manufactures flexible, dye-sensitized solar cells that power IoT devices indoors","Indoor Solar, Powerfoyle",,exeger.com,@Exeger,Sweden,English,2009,Private,€60M,USD,67500000,,,,,,,,,,,
Clean Energy,Solar Steam,GlassPoint Solar,Builds solar steam facilities for industrial processes like oil extraction,"Solar Steam, Industrial Heat",,glasspoint.com,@GlassPointSolar,United States of America,English,2009,Private,$130M,USD,130000000,,,,,,,,,,,
Clean Energy,Green Construction,Glasspoint Solar,Builds solar steam generators for industrial processes using concentrated solar,"Solar Steam, Industrial",Equipment,glasspoint.com,@GlassPoint,United States of America,English,2009,Private,$130 million,USD,130000000,,,,,,,,,,,
Sustainable Mobility,Hydrogen Aviation,HES Energy Systems,Develops hydrogen fuel cells for drones and light aircraft,"Hydrogen Fuel Cells, Aviation",,hes.sg,,Singapore,English,2009,Private,,USD,,,,,,,,,,,,
Decarbonization,Data,"I AND C-Cruise Co., Ltd.","Green Energy Navi, a matching site for photovoltaic power generation systems and Reshop Navi, a site for comparing home-reform service providers.",,,https://www.iacc.co.jp/,,Japan,English,2009,,,USD,,,,,,,,,,,,
Other,Accessible Mobility,Kenguru,Builds electric microcars for wheelchair users,"Inclusive Mobility, MicroEV",,kenguru.com,,United States of America,English,2009,Private,,USD,,,,,,,,,,,,
Decarbonization,Amonia,Liquium,"Liquium has developed a cost-effective technology to create ammonia at low temperatures and in normal atmospheric conditions, significantly reducing carbon emissions and paving the way for localized, small-scale green ammonia production. Liquium will lower the barrier to entry for clean ammonia production, creating smaller, decentralized plants that are more economically feasible and have a stronger alignment with renewable energy generation projects.",,,https://www.liquium.nz/,,United States of America,English,2009,,,USD,,,,,,,,,,,,
Electrification,Fast charging,Mobility house,"We integrate vehicle batteries into the power grid using intelligent charging and energy solutions. This way, we promote the development of renewable energies, stabilize the power grid, and make electric mobility more affordable.To meet the growing need for energy storage, we implement the latest storage solutions based on vehicle batteries in the industrial sector.",,,https://www.mobilityhouse.com/int_en/,@mobility_house,Germany,English,2009,,,USD,,,,,,,,,,,,
Other,Electric Vehicles,Motiv Power Systems,Builds all-electric chassis for medium-duty trucks and buses,"Commercial EVs, Fleet Electrification",,motivps.com,@motivps,United States of America,English,2009,Private,$80M+,USD,80000000,,,,,,,,,,,
Other,Hydropower,Natel Energy,Builds low-impact hydropower turbines for distributed river generation,"Small Hydro, Renewable Rivers",,natelenergy.com,@natelenergy,United States of America,English,2009,Private,$50M+,USD,50000000,,,,,,,,,,,
Digitalization,AI,Next Kraftwerke,Digital platform of flexible power producers and consumers,Flexible and virtual production,,https://www.next-kraftwerke.com/,@Next_Kraftwerke,Germany,English,2009,,,USD,,,,,,,,,,,,
Other,Ocean Wave Energy,Oscilla Power,Develops large-scale wave energy converters using multi-axis motion,"Wave Energy, Utility Scale",,oscillapower.com,@OscillaPower,United States of America,English,2009,Private,$30M+,USD,30000000,,,,,,,,,,,
Digital & AI,Energy-Harvesting Tech,Pavegen,Creates floor tiles that convert foot traffic into electricity and data,"Smart Cities, Energy Harvesting",,pavegen.com,@Pavegen,United Kingdom,English,2009,Private,£8M+,USD,10640000,,,,,,,,,,,
Other,Living Plants Energy,Plant-e,Generates electricity from living plants using microbial fuel cells,"Bioelectricity, Nature-based Tech",,plant-e.com,@Plant_e,Netherlands,English,2009,Private,,USD,,,,,,,,,,,,
Other,Battery Storage,Primus Power,Develops long-duration zinc-bromine flow batteries for grid-scale applications,"Flow Batteries, Grid Storage",,primuspower.com,,United States of America,English,2009,Private,$94M,USD,94000000,,,,,,,,,,,
Digital & AI,Shared Mobility,Ridecell,"Offers fleet automation software for shared, electric, and autonomous vehicles","Fleet Optimization, Shared EVs",,ridecell.com,@Ridecell,United States of America,English,2009,Private,$100M+,USD,100000000,,,,,,,,,,,
Other,Supercapacitors,Skeleton Technologies,Produces ultracapacitors and energy storage systems for transport and grid use,"Ultracapacitors, Energy Storage",Supplier,skeletontech.com,@skeletontech,Germany,English,2009,Private,€200M+,USD,225000000,,,,,,,,,,,
Clean Energy,Solar Water Splitting,SmartCells (Sun Catalytix),Focused on artificial photosynthesis and solar-to-hydrogen innovation,"Solar Hydrogen, Artificial Photosynthesis",,(Acquired → Lockheed Martin),,United States of America,English,2009,Acquired,,USD,,,,,,,,,,,,
